gain,alpha
9.489003615354974,-3.856239405858094
9.5,-3.8579676651726684
9.75,-3.893666378350794
9.829800378818746,-3.9036510470782835
10.0,-3.9227826549840588
10.182836829260756,-3.9402408656391756
10.25,-3.9459017233243143
10.5,-3.9637398579752974
10.548552554005148,-3.966657013529739
10.75,-3.97706737503357
10.927402928117687,-3.9842055212704013
11.0,-3.986641340336316
11.25,-3.993158264943575
11.319859681421145,-3.994518053250925
11.5,-3.9972283715467922
11.72641148587506,-3.9992359122064283
11.75,-3.999367396640637
12.0,-4.0
12.147564564051132,-3.999808501997129
12.25,-3.9994694152873156
12.5,-3.998049491509903
12.583843319461943,-3.997413332051708
12.75,-3.995956793006412
13.0,-3.993361568552534
13.035790989527968,-3.992957095236928
13.25,-3.9903971294024725
13.5,-3.9871675838168956
13.503970321995757,-3.987114622091176
13.75,-3.9837540726187015
13.98896427564963,-3.9803775721808377
14.0,-3.980219724348076
14.25,-3.976613558024999
14.491376746189434,-3.97309931923811
14.5,-3.9729735411922675
14.75,-3.969328979873384
15.0,-3.9657023848934063
15.01183331817808,-3.965531480600485
15.25,-3.962110929903829
15.5,-3.958567591861443
15.550982043995194,-3.95785183518168
15.75,-3.9550820447226243
16.0,-3.951661361244157
16.10949425076691,-3.9501849540541434
16.25,-3.948310565360802
16.5,-3.9450330679752232
16.688065376276406,-3.9426171773173344
16.75,-3.94183101155962
17.0,-3.9387055432443434
17.25,-3.935657031665965
17.287415834896077,-3.9352073940221306
17.5,-3.932685239458841
17.75,-3.929789460663484
17.9082919146197,-3.9279947776070165
18.0,-3.926968630309038
18.25,-3.9242214118668053
18.5,-3.9215462670607817
18.551466706311302,-3.9210043379333266
18.75,-3.918941511578317
19.0,-3.9164053594879844
19.217741066327992,-3.9142509146269133
19.25,-3.9139359585951023
19.5,-3.911531418512229
19.75,-3.9091898328648123
19.907944613715333,-3.907742058200334
20.0,-3.9069092967697143
20.25,-3.904687920500367
20.5,-3.9025238400740005
20.622936763216835,-3.9014801159119212
20.75,-3.9004152253543145
21.0,-3.89836028614917
21.25,-3.896357276691572
21.36360779538394,-3.8954637469811706
21.5,-3.8944044988188766
