time,fast_time,norm_witness
0.001352851102786652,0.0135285110278665200,1.0023903946232455
0.001539926526059492,0.0153992652605949200,1.0027213286301777
0.0017528711776018944,0.01752871177601894400,1.0030981271714932
0.001995262314968879,0.0199526231496887900,1.0035271572317954
0.0022711718672797664,0.02271171867279766400,1.0040156709304733
0.0025852348395621937,0.02585234839562193700,1.004571928056998
0.002942727176209282,0.0294272717620928200,1.005205334992506
0.0033496543915782794,0.03349654391578279400,1.0059266018314827
0.003812852456636187,0.0381285245663618700,1.0067479194966267
0.004166666666666667,0.0416666666666666700,1.0073754799790706
0.00434010263644744,0.043401026364474400,1.0076831584697403
0.004940262207658604,0.0494026220765860400,1.008748090346171
0.005623413251903491,0.0562341325190349100,1.0099606326135468
0.006401032024709314,0.0640103202470931400,1.011341115636117
0.007286181745132274,0.0728618174513227400,1.0129125684606817
0.008293732044796288,0.0829373204479628800,1.0147010162515142
0.008333333333333333,0.0833333333333333300,1.0147712972478073
0.009440608762859246,0.0944060876285924600,1.016735776172158
0.010746078283213174,0.1074607828321317400,1.019049729277091
0.012232071190499325,0.1223207119049932500,1.0216795318784384
0.0125,0.12500,1.0221531098909988
0.013923550682035836,0.1392355068203583600,1.0246657086481366
0.01584893192461114,0.158489319246111400,1.0280525382150316
0.016666666666666666,0.1666666666666666600,1.029486216066187
0.018040559400917883,0.1804055940091788300,1.031887595841365
0.02053525026457146,0.205352502645714600,1.036220751131363
0.020833333333333332,0.2083333333333333200,1.0367358827874114
0.023374912831534905,0.2337491283153490500,1.0411023244448279
0.025,0.2500,1.0438676752897458
0.026607250597988085,0.2660725059798808500,1.0465799757173164
0.029166666666666667,0.2916666666666666700,1.0508477787805508
0.03028656361143965,0.302865636114396500,1.0526937265951946
0.03333333333333333,0.333333333333333300,1.0576433049311615
0.03447466065731498,0.344746606573149800,1.0594682990338873
0.0375,0.37500,1.0642225763397717
0.03924189758484536,0.392418975848453600,1.0669017016293691
0.041666666666666664,0.4166666666666666400,1.070555383327007
0.04466835921509635,0.446683592150963500,1.074948746655534
0.04583333333333333,0.458333333333333300,1.0766132087223816
0.05,0.500,1.0823694176715821
0.050845204686009365,0.5084520468600936500,1.083498021444424
0.05416666666666667,0.541666666666666700,1.0877994108558195
0.05787619883491209,0.578761988349120900,1.0923409258470134
0.058333333333333334,0.5833333333333333400,1.0928807407917458
0.0625,0.62500,1.097593192016478
0.06587945534419247,0.658794553441924700,1.1011319738283467
0.06666666666666667,0.666666666666666700,1.1019188269182933
0.07083333333333333,0.708333333333333300,1.10584199972877
0.07498942093324558,0.749894209332455800,1.1093409730878327
0.075,0.7500,1.1093493417422626
0.07916666666666666,0.791666666666666600,1.112429721182407
0.08333333333333333,0.833333333333333300,1.1150741813118314
0.08535913392913666,0.853591339291366600,1.1162002722743967
0.0875,0.87500,1.1172758604053545
0.09166666666666666,0.916666666666666600,1.1190298971071173
0.09583333333333333,0.958333333333333300,1.1203333244970906
0.09716279515771058,0.971627951577105800,1.1206541444531157
0.1,1.00,1.1211849559294935
0.10416666666666667,1.041666666666666700,1.1215852653994827
0.10579299869915113,1.057929986991511300,1.121619441869011
0.10833333333333334,1.083333333333333400,1.1215362648657672
0.11059869434355622,1.105986943435562200,1.121322240326824
0.1125,1.12500,1.1210413806227149
0.11666666666666667,1.166666666666666700,1.120105330489096
0.12083333333333333,1.208333333333333300,1.1187340032714947
0.125,1.2500,1.1169343416751414
0.12589254117941662,1.258925411794166200,1.1164938727052258
0.12916666666666665,1.291666666666666500,1.1147142295772963
0.13333333333333333,1.333333333333333300,1.1120823843502394
0.1375,1.37500,1.1090482547226088
0.14166666666666666,1.416666666666666600,1.1056219244982153
0.14330125702369628,1.433012570236962800,1.1041729575458676
0.14583333333333334,1.458333333333333400,1.1018140223089932
0.15,1.500,1.0976356374609444
0.15416666666666667,1.541666666666666700,1.0930982418364776
0.15833333333333333,1.583333333333333300,1.0882136177406563
0.1625,1.62500,1.0829937915201142
0.16311729092278396,1.631172909227839600,1.0821927082051612
0.16666666666666666,1.666666666666666600,1.0774509727391852
0.17083333333333334,1.708333333333333400,1.0715974986660124
0.175,1.7500,1.065445783799845
0.17916666666666667,1.791666666666666700,1.0590082741576834
0.18333333333333332,1.833333333333333200,1.0522974060322554
0.18567353246307092,1.856735324630709200,1.0484130233488316
0.1875,1.87500,1.0453255689325613
0.19166666666666665,1.916666666666666500,1.0381050724218528
0.19583333333333333,1.958333333333333300,1.030648116574761
0.2,2.00,1.0229667657846488
0.20416666666666666,2.041666666666666600,1.0150729256633713
0.20833333333333334,2.083333333333333400,1.0069783227879536
0.2113489039836652,2.11348903983665200,1.0010012683702827
0.2125,2.12500,0.9986944870617613
0.21666666666666667,2.166666666666666700,0.9902327364711752
0.22083333333333333,2.208333333333333300,0.9816041640323481
0.225,2.2500,0.9728196267360248
0.22916666666666666,2.291666666666666600,0.9638897363115173
0.23333333333333334,2.333333333333333400,0.9548248516436394
0.2375,2.37500,0.9456350726885737
0.24057472609339486,2.405747260933948600,0.9387792993074432
0.24166666666666667,2.416666666666666700,0.9363302357462502
0.24583333333333332,2.458333333333333200,0.9269199099578339
0.25,2.500,0.9174133949072516
0.25416666666666665,2.541666666666666500,0.9078197192154596
0.2583333333333333,2.58333333333333300,0.8981476400252232
0.2625,2.62500,0.8884056432827012
0.26666666666666666,2.666666666666666600,0.8786019447299812
0.2708333333333333,2.70833333333333300,0.868744491530078
0.27384196342643613,2.738419634264361300,0.8615976307446782
0.275,2.7500,0.8588409644526614
0.2791666666666667,2.79166666666666700,0.8488987805550422
0.2833333333333333,2.83333333333333300,0.8389250962987567
0.2875,2.87500,0.828926811047379
0.2916666666666667,2.91666666666666700,0.8189105708961147
0.29583333333333334,2.958333333333333400,0.8088827727882371
0.3,3.00,0.79884956887755
0.30416666666666664,3.041666666666666400,0.7888168710998755
0.30833333333333335,3.083333333333333500,0.7787903559200213
0.31170947235801283,3.117094723580128300,0.7706744209383751
0.3125,3.12500,0.7687754692239076
0.31666666666666665,3.166666666666666500,0.758777431328401
0.3208333333333333,3.20833333333333300,0.7488012420841259
0.325,3.2500,0.7388516860489336
0.32916666666666666,3.291666666666666600,0.7289333377119345
0.3333333333333333,3.33333333333333300,0.7190505667500726
0.3375,3.37500,0.7092075433010456
0.3416666666666667,3.41666666666666700,0.6994082432380868
0.3458333333333333,3.45833333333333300,0.6896564534336783
0.35,3.500,0.6799557770006641
0.3541666666666667,3.54166666666666700,0.670309638500532
0.354813389233576,3.5481338923357600,0.6688175295555289
0.35833333333333334,3.583333333333333400,0.660721289109789
0.3625,3.62500,0.6511938117364371
0.36666666666666664,3.666666666666666400,0.6417301260795053
0.37083333333333335,3.708333333333333500,0.632332993625503
0.375,3.7500,0.6230050225764252
0.37916666666666665,3.791666666666666500,0.6137486727046981
0.3833333333333333,3.83333333333333300,0.6045662601310938
0.3875,3.87500,0.5954599620222325
0.39166666666666666,3.916666666666666600,0.5864318212048644
0.3958333333333333,3.95833333333333300,0.5774837506945492
0.4,4.00,0.5686175381368572
0.403877816824327,4.0387781682432700,0.5604409736522432
0.4041666666666667,4.04166666666666700,0.5598348501595517
0.4083333333333333,4.08333333333333300,0.5511372366346176
0.4125,4.12500,0.542526134849259
0.4166666666666667,4.16666666666666700,0.5340028735853349
0.42083333333333334,4.208333333333333400,0.5255686771068594
0.425,4.2500,0.5172246690555877
0.42916666666666664,4.291666666666666400,0.5089718762546317
0.43333333333333335,4.333333333333333500,0.5008112324204751
0.4375,4.37500,0.4927435817837588
0.44166666666666665,4.416666666666666500,0.4847696826193559
0.4458333333333333,4.45833333333333300,0.47689021068635923
0.45,4.500,0.4691057625786886
0.45416666666666666,4.541666666666666600,0.4614168589870625
0.4583333333333333,4.58333333333333300,0.4538239478731337
0.4597269885308718,4.59726988530871800,0.4513057827498705
0.46249999999999997,4.624999999999999700,0.4463274075566094
0.4666666666666667,4.66666666666666700,0.4389275497161693
0.4708333333333333,4.70833333333333300,0.43162462230498955
0.475,4.7500,0.4244188123816458
0.4791666666666667,4.79166666666666700,0.41731024885711865
0.48333333333333334,4.833333333333333400,0.4102990051585685
0.4875,4.87500,0.40338510181043863
0.49166666666666664,4.916666666666666400,0.39656850893338874
0.49583333333333335,4.958333333333333500,0.3898491486613956
0.5,5.00,0.38322689747726213
0.5041666666666667,5.04166666666666700,0.3767015884666012
0.5083333333333333,5.08333333333333300,0.37027301349020564
